# Benchmark Compact (n = 33,554,432, r = 1/8)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.4028525	0.48647377	0.45829895	0.9065424	0.913197	0.9605502	0.7494239
2	0.7134664	0.90237427	0.8730633	1.0410169	1.112599	0.98892313	0.7280926
3	0.8831219	1.310726	1.2469054	1.1950029	1.4462868	1.3290135	0.96197075
4	1.0217674	1.6541451	1.6100425	1.2954364	1.7379953	1.6454178	1.1739893
6	1.270495	2.162424	2.3359327	1.4564648	2.2845962	2.2977393	1.4005537
8	1.3640504	2.4124193	2.7150865	1.5220966	2.4291506	2.7797313	1.5668273
10	1.2812922	2.3035514	2.817923	1.4284997	2.4823902	2.7578437	1.585376
12	1.2818694	2.4062996	2.8799493	1.4344401	2.4799564	2.8968062	1.581082
14	1.2770517	2.3959167	3.0533798	1.4311038	2.5594153	3.0395193	1.570069
16	1.2632338	2.4580004	3.231053	1.4082643	2.6515257	3.3767428	1.585376
20							
24							
28							
32							
