# Benchmark Prefix-sum (n = 536,870,912)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.56328905	0.6231503	0.77196294	1.000903	1.0018629	0.9920266	1.0070219
2	0.87679493	1.0154744	1.2509041	1.150144	1.2145547	1.3084127	1.118423
3	1.0461812	1.2890894	1.5535153	1.315524	1.8393388	1.5736758	1.1822963
4	1.1814164	1.5236437	1.8784276	1.5989172	2.1328275	1.8746693	1.476599
6	1.3476458	1.798501	2.4373744	1.7175597	2.4021845	2.4224973	1.6528336
8	1.3964769	1.9431459	2.655503	1.8804486	2.620041	2.675653	1.8705506
10	1.359931	1.8579606	2.629478	1.7278534	2.7262564	2.6311908	1.8704256
12	1.3549083	1.8376188	2.5541427	1.7496234	2.7407253	2.5548067	1.8685797
14	1.3397245	1.8033543	2.5040052	1.7623543	2.6886935	2.5048332	1.8767985
16	1.2934281	1.7980474	2.457259	1.7426122	2.7475193	2.4576244	1.8842593
20							
24							
28							
32							
