# Benchmark Compact (n = 33,554,432, r = 1/2)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.47196013	0.4079246	0.5383014	1.0063585	0.9662619	0.9977887	1.007171
2	0.904161	0.8180047	1.0201548	1.0749385	1.3011043	1.0390985	0.89159817
3	1.1142752	1.0247638	1.0683055	1.2288082	1.5577509	1.3597487	1.3259144
4	1.0471793	1.0247638	1.0630577	1.0819304	1.3142468	1.2237386	1.5674218
6	1.4384644	1.2675871	1.7081186	1.4614615	1.7304177	1.5873064	1.908138
8	1.7900068	2.1237733	2.8528383	1.9014659	2.8117998	2.6455436	2.4179683
10	1.7961465	2.8562963	3.3160815	1.9359196	3.3003423	3.3943663	2.3920596
12	1.7833089	2.987463	3.481287	1.8615756	3.2972636	3.440623	2.449385
14	1.7818105	3.0848	3.6012905	1.8773956	3.367151	3.605883	2.4127417
16	1.7174555	2.8411815	3.3927372	1.9108027	3.2240803	3.6896312	2.4354618
20							
24							
28							
32							
