# Benchmark Compact (n = 33,554,432, r = 1/8)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Our chained scan
1	0.5355078	0.5222697	0.556684	1.0455854	1.0560275	1.0452191
2	0.996921	1.07705	1.0699319	1.3114383	1.4103187	1.2635145
3	1.2383776	1.5622966	1.5587983	1.5227123	1.861568	1.6611518
4	1.4268439	2.0447447	2.0384579	1.6556207	2.3123512	2.081946
6	1.6693845	2.922883	2.973658	1.8830531	3.1664014	2.9753525
8	1.847978	3.6780558	3.8825061	2.0459466	3.8988144	3.9141598
10	1.9354959	4.1374936	4.6393423	2.0527842	4.3193383	4.7094374
12	1.9784946	4.3512864	5.2951317	2.1042874	4.491666	5.3949885
14	2.0247226	4.57882	5.837596	2.1454694	4.746903	5.954098
16	2.0374634	4.6424365	6.3265676	2.1679642	4.76967	6.387521
20	1.9909433	4.5553493	6.2865744	2.1050298	4.646568	6.3256097
24	1.9932235	4.4557285	6.323694	2.074913	4.5144835	6.425846
28	1.9706534	4.292262	6.436739	2.0415466	4.4738646	5.814841
32	1.9636124	4.307756	4.7855177	2.0310235	4.408232	6.320823
