# Benchmark Prefix-sum (n = 536,870,912)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB
1	0.58932334	0.649106	0.7311351	1.0746071	1.0770911	1.0743649	1.0840133
2	0.9030885	1.0692164	1.1679327	1.180554	1.6233704	1.244219	1.164972
3	1.1658595	1.407117	1.4884408	1.6468976	2.0379658	1.5499357	1.389389
4	1.4201301	1.7024807	1.7498715	1.9311248	2.4577935	1.7639029	1.7594936
6	1.6371889	1.9670966	2.149482	2.0663228	2.8916438	2.1292706	1.8554808
8	1.6920505	2.1124544	2.541044	2.1085827	3.0270922	2.5294592	2.0893302
10	1.6809	2.114257	2.59849	2.0773273	3.0732117	2.5953097	2.0688856
12	1.6717532	2.1151865	2.6390224	2.1093292	3.1227832	2.6378121	2.0894349
14	1.6602892	2.1074815	2.6922178	2.05081	3.240906	2.6922758	2.0911984
16	1.6499491	2.0929477	2.7021608	2.073394	3.2027223	2.7058573	2.0960245
20							
24							
28							
32							
