# Benchmark Scan (n = 67,108,864)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Our chained scan
1	0.55648494	0.6078895	0.6797283	0.98050433	0.9869895	0.98760134
2	0.8436118	0.99515456	1.0879291	1.107616	1.3187462	1.1648781
3	1.080055	1.2960422	1.3806479	1.4176046	1.8093747	1.4433969
4	1.3057753	1.5564827	1.6168089	1.7737654	2.2654214	1.6364696
6	1.515192	1.8117105	1.978717	1.8905638	2.6049142	1.9799134
8	1.5797598	1.952176	2.330263	2.0216765	2.8560908	2.3278701
10	1.5700396	1.9474032	2.3664687	1.9095503	2.8704164	2.3651392
12	1.5610996	1.9411184	2.4142535	1.9927652	2.9209118	2.4089255
14	1.5551276	1.9474032	2.4369109	1.9711076	2.8942354	2.4402401
16	1.5449375	1.9542471	2.4774714	1.9427178	2.875317	2.4750788
20						
24						
28						
32						
