# Benchmark Compact (n = 33,554,432, r = 1/2)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB	ParlayLib
1	0.3869068	0.47787178	0.54064107	0.9830738	0.9856537	0.9824309	0.97364444	0.26919034
2	0.68572557	0.8931827	1.017841	1.0233413	1.224329	1.0202372	1.072993	0.44083413
3	0.83555806	1.2407775	1.4629318	1.0886474	1.4983377	1.4685565	1.2585167	0.54840356
4	0.9709177	1.5497558	1.8841974	1.1705277	1.7526054	1.8905201	1.3438488	0.66447484
6	1.1437925	2.011874	2.5288968	1.2732358	2.1597662	2.5397272	1.3876232	0.7660536
8	1.1911936	2.252599	3.051869	1.2843384	2.3408122	3.060573	1.5241799	0.79719114
10	1.1393973	2.2017586	3.1398914	1.2446837	2.3527877	3.1429567	1.4601827	0.75750446
12	1.1227082	2.191481	3.1530712	1.2280654	2.3425157	3.1703713	1.4499421	0.7479753
14	1.1082969	2.1772947	3.1151507	1.2000107	2.3376555	3.2349985	1.4699935	0.7298076
16	1.1031967	2.1726763	3.2303612	1.1919496	2.315795	3.2649956	1.4757695	0.72355115
20	1.094357	2.0925806	3.106562	1.1531574	2.2125676	3.11128	1.4737427	0.7185447
24	1.0865477	2.0294487	2.9631822	1.1409549	2.1329863	2.9596796	1.468748	0.7125241
28								
32								
