# Benchmark Prefix-sum inplace (n = 67,108,864)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB	ParlayLib
1	0.50658584	0.5722991	0.7572348	0.9932228	0.9928429	0.97722626	0.9690191	0.59739643
2	0.838834	0.99818736	1.2924045	1.1115699	1.2009715	1.3056833	1.0906881	1.019867
3	0.9793328	1.230699	1.7139826	1.1700039	1.3672272	1.7307143	1.2741008	1.2468268
4	1.0492811	1.3562074	1.9601445	1.1877062	1.4626343	1.963215	1.3903979	1.3473088
6	1.1188929	1.5129881	2.150719	1.2146987	1.5939392	2.153395	1.4923013	1.487233
8	1.1441839	1.5722876	2.2107663	1.210048	1.6297475	2.2134593	1.590382	1.5599382
10	1.1409154	1.5528734	2.1698508	1.2201222	1.6353205	2.2229357	1.536072	1.5898255
12	1.1470366	1.5622851	2.189194	1.2217628	1.6384168	2.2346902	1.5476495	1.6048483
14	1.1578159	1.580561	2.228251	1.2312826	1.6525713	2.2309864	1.5616138	1.6168424
16	1.1615533	1.5935897	2.277113	1.2472546	1.6674314	2.2731252	1.5718796	1.6193638
20								
24								
28								
32								
