# Benchmark Prefix-sum (n = 67,108,864)
# Speedup compared to a sequential implementation.
# NCPU	Scan-then-propagate	Reduce-then-scan	Chained scan	Assisted scan-t.-prop.	Assisted reduce-t.-scan	Adaptive chained scan	oneTBB	ParlayLib
1	0.5587162	0.6229051	0.7551213	0.9939734	0.9953186	0.986867	1.0226594	0.30115736
2	0.88282984	1.0170949	1.2301807	1.1030761	1.1692905	1.2351937	1.1380552	0.5271439
3	1.0535945	1.2773633	1.5429938	1.2251413	1.3531097	1.551103	1.2359765	0.7075421
4	1.2107905	1.5346538	1.9125596	1.3613218	1.615972	1.9275156	1.5297347	0.84724927
6	1.3551534	1.8430978	2.624371	1.4793404	1.8960693	2.633615	1.7369807	1.0741291
8	1.3971037	1.9492917	2.7729633	1.5035359	1.9829819	2.7757084	1.9226418	1.2280928
10	1.3542534	1.8487184	2.628677	1.4494668	1.9198443	2.6305265	1.8017913	1.2585849
12	1.3470154	1.8267367	2.524962	1.4364713	1.894788	2.5253885	1.7580829	1.2751123
14	1.3297664	1.787006	2.467059	1.4126334	1.8569832	2.4669232	1.7182198	1.2853787
16	1.3202177	1.7698741	2.4118817	1.400156	1.8398474	2.4112334	1.7078844	1.280828
20								
24								
28								
32								
